Year,precipitation,meantemp,mintemp,maxtemp
1961,1175.75,24.13,7.12,39.83
1962,1117.62,24.1,7.1,39.73
1963,1185.62,23.91,6.58,39.55
1964,1150.77,23.85,6.9,39.52
1965,1111.1,23.96,6.91,39.59
1966,1134.87,24.03,6.87,39.74
1967,1164.16,23.97,6.91,39.49
1968,1088.6,23.97,6.71,39.56
1969,1134.65,23.98,6.84,39.5
1970,1098.71,24.03,6.8,39.67
1971,1125.54,24.06,6.81,39.63
1972,1127.1,23.98,6.78,39.47
1973,1057.95,24.15,7,39.75
1974,1097.76,24.11,6.92,39.8
1975,1175.28,23.94,6.9,39.55
1976,1083,24.07,6.96,39.65
1977,1111.33,24.12,7.01,39.59
1978,1136.32,24.02,6.69,39.78
1979,1136.48,24.13,7.06,39.67
1980,1116.62,24.13,7.15,39.83
1981,1125.71,24.24,7.12,39.73
1982,1146.76,24.1,6.95,39.82
1983,1040.18,23.99,6.68,39.45
1984,1114.26,24.13,6.89,39.9
1985,1119.45,24.12,7.17,39.57
1986,1111.27,24.21,7,39.75
1987,1151.25,24.22,7.13,39.8
1988,1155.77,24.15,7.19,39.76
1989,1160.65,24.25,7.11,39.96
1990,1165.54,24.26,7.37,39.87
1991,1096.75,24.29,7.15,39.93
1992,1118.92,23.88,7,39.12
1993,1155.52,24.01,6.95,39.49
1994,1159.91,24.12,7.06,39.69
1995,1126.3,24.25,6.98,39.75
1996,1133.06,24.16,7.45,39.76
1997,1184.67,24.32,7.23,39.9
1998,1145.5,24.28,7.39,39.77
1999,1188.02,24.37,7.02,40.07
2000,1126.31,24.38,7.25,40.03
2001,1141.87,24.5,7.51,40.03
2002,1214.11,24.51,7.55,40.1
2003,1174.41,24.4,7.38,39.95
2004,1162.32,24.52,7.31,40.07
2005,1153.45,24.53,7.73,40.17
2006,1191.73,24.42,7.54,40.08
2007,1201.74,24.43,7.26,39.98
2008,1201.66,24.4,7.24,39.85
2009,1190.82,24.5,7.58,39.97
2010,1166.8,24.58,7.43,40.21
2011,1166.91,24.63,7.62,39.95
2012,1180.75,24.67,7.76,40.1
2013,1198.93,24.62,7.72,40.17
2014,1148.43,24.63,7.64,40.38
2015,1198.01,24.66,7.69,40.27
2016,1187.68,24.62,7.84,40.29
2017,1156.38,24.63,7.82,40.37
2018,1192.54,24.69,7.76,40.39
2019,1192.15,24.73,8.05,40.38
2020,1207.63,24.73,7.96,40.53
